Iteration,Expert,Agent_16,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
1,15,2,2,3,6,0,20,0,9
2,29,1,0,4,1,0,32,2,2
3,58,0,1,3,1,6,18,8,8
4,53,0,3,0,0,2,16,5,11
5,12,0,1,1,5,1,8,3,3
6,89,0,0,2,1,4,14,2,15
7,40,0,0,12,4,1,21,6,4
8,58,3,1,0,8,0,21,5,2
9,56,1,3,10,2,0,22,11,22
10,87,1,1,4,0,1,32,11,13
11,47,0,0,0,0,1,8,13,21
12,72,0,0,0,2,7,7,9,26
13,45,0,1,6,1,1,10,3,23
14,57,1,0,0,8,0,25,5,7
15,20,2,1,8,3,3,15,17,9
16,58,0,0,6,3,1,30,3,35
17,46,0,1,5,4,1,38,19,9
18,29,1,2,4,1,0,61,9,7
19,20,0,1,2,0,0,18,4,7
20,46,0,0,8,6,4,3,7,3
21,14,3,3,8,1,2,25,3,24
22,59,0,0,2,4,1,11,9,3
23,0,0,1,0,3,3,3,7,5
24,2,0,1,5,1,0,14,6,8
25,59,0,2,7,5,1,71,1,3
26,7,0,2,1,7,0,11,16,6
27,19,1,2,9,5,2,7,2,5
28,26,0,1,0,6,4,18,2,6
29,45,0,0,0,2,1,102,4,5
30,25,0,0,3,4,1,36,8,14
31,44,0,0,0,0,0,0,0,0
32,55,0,0,0,0,0,0,0,0
33,77,0,0,0,0,0,0,0,0
34,37,0,0,0,0,0,0,0,0
35,46,0,0,0,0,0,0,0,0
36,37,0,0,0,0,0,0,0,0
37,78,0,0,0,0,0,0,0,0
38,73,0,0,0,0,0,0,0,0
39,49,0,0,0,0,0,0,0,0
40,36,0,0,0,0,0,0,0,0
41,87,0,0,0,0,0,0,0,0
42,21,0,0,0,0,0,0,0,0
43,20,0,0,0,0,0,0,0,0
44,47,0,0,0,0,0,0,0,0
45,39,0,0,0,0,0,0,0,0
46,22,0,0,0,0,0,0,0,0
47,52,0,0,0,0,0,0,0,0
48,87,0,0,0,0,0,0,0,0
49,42,0,0,0,0,0,0,0,0
50,49,0,0,0,0,0,0,0,0
51,48,0,0,0,0,0,0,0,0
52,27,0,0,0,0,0,0,0,0
53,52,0,0,0,0,0,0,0,0
54,52,0,0,0,0,0,0,0,0
55,17,0,0,0,0,0,0,0,0
56,24,0,0,0,0,0,0,0,0
57,73,0,0,0,0,0,0,0,0
58,43,0,0,0,0,0,0,0,0
59,55,0,0,0,0,0,0,0,0
60,73,0,0,0,0,0,0,0,0
61,39,0,0,0,0,0,0,0,0
