Iteration,Expert,Agent_16,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
1,2,0,0,0,0,0,0,0,0
2,7,0,0,0,0,0,0,0,0
3,13,0,0,0,0,0,0,0,0
4,18,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0
6,19,0,0,0,0,0,0,0,0
7,9,0,0,0,0,0,0,0,0
8,12,0,0,0,0,0,0,0,0
9,13,0,0,0,0,0,0,1,1
10,18,0,0,0,0,0,0,0,0
11,11,0,0,0,0,0,0,0,0
12,15,0,0,0,0,0,0,1,0
13,10,0,0,0,0,0,1,0,0
14,11,0,0,0,0,0,0,1,0
15,7,0,0,0,0,0,0,0,0
16,14,0,0,0,0,0,0,0,0
17,10,0,0,0,0,0,0,0,1
18,4,0,0,0,0,0,0,0,0
19,3,0,0,0,0,0,0,0,0
20,16,0,0,0,0,0,0,0,0
21,11,0,0,0,0,0,0,0,0
22,15,0,0,0,0,0,0,0,0
23,2,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0
25,13,0,0,0,0,0,0,0,0
26,2,0,0,0,0,0,0,0,0
27,9,0,0,0,0,0,0,0,0
28,6,0,0,0,0,0,0,0,0
29,8,0,0,0,0,0,0,1,0
30,9,0,0,0,0,0,0,0,0
31,16,0,0,0,0,0,0,0,0
32,13,0,0,0,0,0,0,0,0
33,17,0,0,0,0,0,0,0,0
34,8,0,0,0,0,0,0,0,0
35,10,0,0,0,0,0,0,0,0
36,7,0,0,0,0,0,0,0,0
37,16,0,0,0,0,0,0,0,0
38,17,0,0,0,0,0,0,0,0
39,9,0,0,0,0,0,0,0,0
40,8,0,0,0,0,0,0,0,0
41,27,0,0,0,0,0,0,0,0
42,4,0,0,0,0,0,0,0,0
43,2,0,0,0,0,0,0,0,0
44,9,0,0,0,0,0,0,0,0
45,6,0,0,0,0,0,0,0,0
46,11,0,0,0,0,0,0,0,0
47,12,0,0,0,0,0,0,0,0
48,31,0,0,0,0,0,0,0,0
49,8,0,0,0,0,0,0,0,0
50,6,0,0,0,0,0,0,0,0
51,11,0,0,0,0,0,0,0,0
52,9,0,0,0,0,0,0,0,0
53,12,0,0,0,0,0,0,0,0
54,12,0,0,0,0,0,0,0,0
55,6,0,0,0,0,0,0,0,0
56,8,0,0,0,0,0,0,0,0
57,11,0,0,0,0,0,0,0,0
58,9,0,0,0,0,0,0,0,0
59,19,0,0,0,0,0,0,0,0
60,14,0,0,0,0,0,0,0,0
61,11,0,0,0,0,0,0,0,0
