Iteration,Expert,Agent_16,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
1,2,1,0,1,0,2,1,0,2
2,6,1,0,0,0,1,1,0,1
3,9,1,0,0,0,1,3,1,2
4,14,1,0,0,0,1,1,1,1
5,7,1,1,0,1,1,2,1,1
6,19,1,0,0,0,1,2,1,2
7,9,1,0,0,0,1,1,1,2
8,15,1,0,0,0,1,5,0,1
9,11,1,1,1,0,2,1,2,2
10,14,1,0,0,1,2,1,0,2
11,12,2,0,0,1,1,1,1,1
12,14,1,0,0,0,1,2,2,1
13,9,2,0,1,0,1,1,1,2
14,10,1,0,0,0,1,2,1,1
15,5,2,0,1,0,1,3,1,3
16,13,2,0,0,0,1,2,1,1
17,11,1,1,0,0,1,1,1,1
18,8,1,0,0,1,2,2,2,1
19,4,1,0,0,0,1,1,0,1
20,19,2,0,1,2,1,1,1,2
21,10,2,0,1,0,1,1,2,1
22,14,2,0,0,0,1,1,3,2
23,3,2,0,0,0,1,3,0,1
24,0,1,0,0,0,2,1,0,2
25,13,1,0,0,0,1,2,2,2
26,1,1,0,0,0,1,1,0,1
27,11,1,0,0,0,1,2,0,1
28,7,2,0,0,0,1,1,0,1
29,9,2,0,0,0,1,2,2,1
30,10,2,0,0,1,1,2,4,2
31,15,0,0,0,0,0,0,0,0
32,11,0,0,0,0,0,0,0,0
33,17,0,0,0,0,0,0,0,0
34,8,0,0,0,0,0,0,0,0
35,6,0,0,0,0,0,0,0,0
36,8,0,0,0,0,0,0,0,0
37,18,0,0,0,0,0,0,0,0
38,17,0,0,0,0,0,0,0,0
39,9,0,0,0,0,0,0,0,0
40,7,0,0,0,0,0,0,0,0
41,23,0,0,0,0,0,0,0,0
42,4,0,0,0,0,0,0,0,0
43,6,0,0,0,0,0,0,0,0
44,11,0,0,0,0,0,0,0,0
45,11,0,0,0,0,0,0,0,0
46,9,0,0,0,0,0,0,0,0
47,11,0,0,0,0,0,0,0,0
48,31,0,0,0,0,0,0,0,0
49,6,0,0,0,0,0,0,0,0
50,6,0,0,0,0,0,0,0,0
51,14,0,0,0,0,0,0,0,0
52,8,0,0,0,0,0,0,0,0
53,15,0,0,0,0,0,0,0,0
54,11,0,0,0,0,0,0,0,0
55,7,0,0,0,0,0,0,0,0
56,8,0,0,0,0,0,0,0,0
57,11,0,0,0,0,0,0,0,0
58,12,0,0,0,0,0,0,0,0
59,20,0,0,0,0,0,0,0,0
60,18,0,0,0,0,0,0,0,0
61,8,0,0,0,0,0,0,0,0
