Iteration,Expert,Agent_16,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
1,35,20,21,0,7,1,3,13,4
2,51,13,8,2,0,2,9,13,3
3,54,25,3,12,11,14,0,15,7
4,64,3,44,1,0,2,1,2,3
5,38,6,26,1,0,8,16,17,20
6,66,23,4,1,0,1,0,7,4
7,41,10,12,0,0,5,5,39,12
8,71,45,17,1,3,5,23,23,9
9,62,3,15,13,0,1,2,9,8
10,83,28,7,2,14,20,0,20,4
11,58,4,6,1,0,1,16,2,5
12,66,18,1,1,1,1,0,2,6
13,59,26,15,11,0,25,2,21,7
14,46,18,25,0,0,1,6,13,4
15,39,11,5,0,0,13,0,6,14
16,95,20,14,17,4,2,0,2,11
17,63,22,1,24,15,1,1,7,5
18,42,16,2,10,0,1,11,9,19
19,27,25,22,1,0,2,4,2,9
20,97,10,15,1,0,1,1,13,3
21,22,3,11,11,9,15,12,33,6
22,69,26,1,3,7,5,5,23,7
23,17,3,14,0,1,13,0,8,3
24,17,15,23,3,23,6,1,34,10
25,58,30,6,1,8,6,0,13,8
26,14,3,6,0,0,9,12,25,14
27,42,9,9,3,0,15,2,7,23
28,25,22,14,0,0,2,7,23,7
29,73,4,37,0,0,7,0,31,3
30,58,12,2,4,14,16,9,11,3
31,60,0,0,0,0,0,0,0,0
32,58,0,0,0,0,0,0,0,0
33,78,0,0,0,0,0,0,0,0
34,60,0,0,0,0,0,0,0,0
35,64,0,0,0,0,0,0,0,0
36,53,0,0,0,0,0,0,0,0
37,85,0,0,0,0,0,0,0,0
38,89,0,0,0,0,0,0,0,0
39,67,0,0,0,0,0,0,0,0
40,61,0,0,0,0,0,0,0,0
41,82,0,0,0,0,0,0,0,0
42,15,0,0,0,0,0,0,0,0
43,35,0,0,0,0,0,0,0,0
44,46,0,0,0,0,0,0,0,0
45,40,0,0,0,0,0,0,0,0
46,30,0,0,0,0,0,0,0,0
47,62,0,0,0,0,0,0,0,0
48,86,0,0,0,0,0,0,0,0
49,46,0,0,0,0,0,0,0,0
50,33,0,0,0,0,0,0,0,0
51,51,0,0,0,0,0,0,0,0
52,35,0,0,0,0,0,0,0,0
53,47,0,0,0,0,0,0,0,0
54,50,0,0,0,0,0,0,0,0
55,31,0,0,0,0,0,0,0,0
56,42,0,0,0,0,0,0,0,0
57,56,0,0,0,0,0,0,0,0
58,44,0,0,0,0,0,0,0,0
59,29,0,0,0,0,0,0,0,0
60,53,0,0,0,0,0,0,0,0
61,54,0,0,0,0,0,0,0,0
