Iteration,Expert,Agent_16,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
1,50,358,552,263,850,273,361,224,252
2,131,404,269,292,343,261,288,249,244
3,227,462,284,389,295,1029,465,360,362
4,205,474,305,273,278,264,528,346,493
5,58,312,212,263,582,277,321,224,221
6,409,407,275,220,302,248,200,384,435
7,172,477,345,916,594,225,322,262,230
8,291,276,307,317,895,645,332,228,454
9,270,461,360,413,302,256,357,293,518
10,354,284,271,596,199,218,421,487,299
11,212,319,265,313,287,201,238,395,398
12,287,304,569,317,362,664,202,348,601
13,215,321,1020,587,300,335,215,211,305
14,229,334,275,277,402,544,630,377,236
15,110,232,291,487,353,274,204,261,613
16,262,246,361,337,253,379,210,331,300
17,202,245,265,310,278,253,446,304,290
18,111,275,467,307,268,229,269,287,253
19,83,356,290,272,357,448,243,234,303
20,226,196,242,253,556,306,263,329,313
21,105,294,271,931,173,683,310,316,456
22,290,300,346,432,493,462,229,260,150
23,3,300,604,278,279,270,158,260,334
24,11,550,566,440,411,315,177,411,199
25,321,269,621,376,277,322,389,240,301
26,37,304,243,274,677,178,182,389,230
27,89,331,534,550,305,575,225,235,210
28,107,330,274,278,504,400,220,275,230
29,221,216,335,276,381,440,621,285,324
30,180,222,433,461,261,389,359,326,336
31,223,0,0,0,0,0,0,0,0
32,236,0,0,0,0,0,0,0,0
33,350,0,0,0,0,0,0,0,0
34,173,0,0,0,0,0,0,0,0
35,193,0,0,0,0,0,0,0,0
36,186,0,0,0,0,0,0,0,0
37,413,0,0,0,0,0,0,0,0
38,409,0,0,0,0,0,0,0,0
39,195,0,0,0,0,0,0,0,0
40,153,0,0,0,0,0,0,0,0
41,379,0,0,0,0,0,0,0,0
42,65,0,0,0,0,0,0,0,0
43,94,0,0,0,0,0,0,0,0
44,201,0,0,0,0,0,0,0,0
45,179,0,0,0,0,0,0,0,0
46,96,0,0,0,0,0,0,0,0
47,236,0,0,0,0,0,0,0,0
48,410,0,0,0,0,0,0,0,0
49,192,0,0,0,0,0,0,0,0
50,211,0,0,0,0,0,0,0,0
51,191,0,0,0,0,0,0,0,0
52,127,0,0,0,0,0,0,0,0
53,252,0,0,0,0,0,0,0,0
54,211,0,0,0,0,0,0,0,0
55,103,0,0,0,0,0,0,0,0
56,142,0,0,0,0,0,0,0,0
57,286,0,0,0,0,0,0,0,0
58,186,0,0,0,0,0,0,0,0
59,248,0,0,0,0,0,0,0,0
60,344,0,0,0,0,0,0,0,0
61,197,0,0,0,0,0,0,0,0
