Id,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30
0,45,34,53,43,44,55,45,38,67,46,43,35,34,36,68,41,47,44,40,50,61,59,47,60,41,43,48,44,0,0
74,52,42,8,9,59,40,54,36,41,18,8,58,16,1,42,30,18,35,26,91,13,5,33,48,16,25,19,50,26,18
78,106,95,31,6,68,73,33,45,36,32,71,62,45,52,55,61,4,25,75,26,118,66,68,51,43,50,61,60,72,17
82,15,18,31,24,33,50,14,73,27,19,47,30,12,17,43,11,17,22,2,8,1,29,76,43,1,59,17,62,13,29
88,1,26,28,55,5,44,30,40,39,39,61,16,52,46,84,59,33,33,56,102,1,44,28,41,8,27,57,61,20,75
89,50,95,56,73,96,73,36,82,50,37,56,66,85,49,102,150,118,98,94,105,78,60,82,59,15,47,54,70,66,52
177,27,32,38,36,31,32,28,20,27,29,34,20,35,34,30,32,24,30,28,30,30,33,35,28,36,27,29,17,44,33
194,52,40,75,64,61,53,52,77,97,68,52,126,77,56,68,144,64,73,69,89,67,67,59,45,61,53,54,52,84,97
198,34,67,45,43,44,42,39,59,44,54,34,34,54,42,45,42,43,53,53,38,43,33,43,58,86,41,50,54,36,55
201,36,44,50,37,56,36,49,62,40,45,49,33,47,50,51,51,44,39,37,38,41,41,58,45,54,36,46,57,42,44
248,41,46,34,48,36,33,45,44,34,38,39,37,40,47,41,48,38,40,51,42,43,43,44,40,36,37,44,35,39,49
249,42,45,30,41,27,36,33,39,45,42,43,35,46,38,40,37,39,36,38,39,44,33,37,40,38,41,36,36,36,33
257,36,37,44,48,38,40,52,46,41,34,35,37,37,36,47,39,41,36,47,40,35,35,43,47,42,39,39,48,33,44
258,32,46,43,54,39,39,40,41,32,36,36,45,37,37,47,38,45,41,31,47,27,37,27,46,35,34,37,34,48,41
261,51,75,43,49,47,36,87,54,41,57,52,44,45,42,41,71,52,40,68,51,43,69,65,42,47,42,87,37,72,50
296,43,45,44,65,77,54,45,41,47,41,43,32,43,41,44,56,47,54,38,43,45,45,53,40,46,47,33,39,55,46
298,54,38,41,56,50,40,53,46,45,47,78,61,38,60,39,56,77,44,78,45,43,58,53,38,53,70,38,51,41,37
300,42,42,42,51,38,42,55,39,45,50,40,49,34,47,45,52,49,44,52,39,64,37,41,47,38,42,52,47,44,39
