Id,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30
0,4,24,21,9,18,33,22,12,23,57,16,7,6,18,29,5,13,15,11,19,14,35,25,23,21,9,15,16,0,0
74,0,4,1,1,3,8,9,1,10,8,1,4,4,2,3,3,7,5,4,5,5,5,5,8,2,2,5,6,5,1
78,4,4,2,2,2,3,4,1,4,3,1,7,2,4,0,0,1,0,3,3,3,16,3,1,2,1,0,5,2,2
82,1,6,4,1,1,2,1,1,3,3,2,2,2,4,1,9,1,4,1,2,3,1,3,3,2,8,2,2,1,2
88,0,1,0,0,1,1,2,0,1,1,1,1,1,2,2,1,2,1,2,0,0,2,0,2,1,2,1,4,1,1
89,3,3,4,5,4,4,4,4,3,4,5,4,4,4,3,3,3,3,5,4,9,2,2,5,4,2,4,10,4,4
177,3,4,3,3,4,3,4,3,5,5,7,5,3,3,5,11,12,11,3,7,3,4,11,5,18,4,3,5,7,3
194,7,5,6,6,13,5,13,9,6,4,7,6,7,12,6,7,6,8,8,8,5,5,7,5,7,5,6,5,6,10
198,10,10,13,12,6,16,11,9,11,8,12,9,13,15,8,10,17,8,14,5,9,11,10,9,10,15,13,9,17,8
201,8,12,9,13,9,10,7,9,6,7,6,9,6,14,13,4,5,10,17,8,5,18,6,6,9,12,8,9,6,12
248,4,8,4,7,4,4,5,5,7,4,6,4,7,6,5,4,6,5,5,7,6,5,6,7,5,6,7,7,4,6
249,5,3,5,6,7,4,4,6,5,5,5,5,6,7,3,5,5,8,11,5,6,7,5,6,4,3,3,5,4,5
257,3,3,7,5,3,6,14,3,6,5,3,5,4,5,6,9,7,4,4,3,3,12,3,4,8,7,4,11,6,5
258,4,3,5,12,5,9,6,8,4,4,5,4,9,8,6,6,8,6,6,4,7,5,5,4,8,6,8,7,6,6
261,5,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,2,3,4,3,6,3,8,4
296,3,1,2,1,4,3,3,2,10,1,4,2,6,2,1,3,4,6,2,3,1,3,3,2,4,8,10,4,2,4
298,1,2,2,8,3,11,1,9,3,4,3,2,2,2,3,5,8,5,8,3,2,4,6,4,9,1,9,6,5,7
300,3,1,5,4,2,3,1,2,5,6,8,5,2,2,2,2,2,1,3,2,2,4,5,4,4,4,2,2,2,4
