Id,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30
0,62,116,133,112,125,198,132,83,186,154,109,123,46,178,372,97,245,237,99,313,169,271,206,306,282,185,159,166,0,0
74,178,205,177,221,135,191,114,257,124,348,269,291,245,258,241,232,173,331,185,101,314,151,228,205,270,206,372,246,296,151
78,200,225,148,250,199,375,363,221,323,295,196,229,209,351,208,171,344,157,262,207,305,210,158,235,279,134,226,212,174,305
82,428,423,269,243,298,152,336,263,196,159,254,220,158,321,170,384,168,283,175,137,357,228,215,246,213,299,176,156,250,430
88,198,250,251,336,559,412,266,208,257,275,251,386,239,279,336,432,227,208,215,300,374,177,204,174,200,174,229,416,139,411
89,203,213,162,247,391,103,170,238,258,138,244,449,182,153,215,249,286,313,153,171,260,183,206,383,147,176,231,172,134,254
177,136,219,236,158,140,200,183,356,90,175,351,218,212,181,179,383,297,219,174,277,200,138,161,287,286,239,243,208,380,124
194,180,44,163,67,312,196,299,177,280,185,95,173,226,168,157,267,157,211,197,227,262,272,149,100,200,94,61,126,181,279
198,201,69,209,198,193,174,172,199,132,257,221,169,135,255,84,179,201,159,133,165,160,326,241,181,328,262,320,413,216,130
201,228,258,129,397,408,199,195,213,189,140,251,233,109,203,281,264,106,164,318,193,170,270,168,234,191,303,149,373,79,162
248,197,186,235,290,137,161,256,220,162,231,176,228,241,271,204,123,176,153,291,333,300,195,285,119,127,235,247,229,292,359
249,257,174,132,140,286,218,176,187,140,198,265,104,136,248,157,113,131,238,228,255,219,210,286,135,144,219,137,95,161,139
257,164,178,252,204,132,121,340,262,135,251,98,138,148,220,438,318,229,90,292,116,188,356,126,141,268,144,115,302,234,190
258,123,171,50,251,67,152,355,221,189,102,137,59,113,237,292,86,209,128,187,41,211,102,273,44,175,205,131,94,224,275
261,334,231,131,179,89,105,213,292,200,158,187,136,74,139,266,181,118,164,326,101,76,178,302,202,459,128,290,131,247,291
296,224,320,195,333,442,231,166,231,364,234,139,294,174,130,202,239,353,279,231,215,194,219,290,292,214,330,261,265,184,238
298,333,129,299,206,138,280,131,295,243,240,385,388,236,193,122,231,451,193,265,251,215,302,428,217,190,84,193,229,427,268
300,139,410,283,254,117,194,499,183,191,320,151,136,135,209,167,148,125,378,228,161,355,168,274,290,233,205,183,319,275,134
