Expert,DDQN_1Mio,DDQN,Agent_78,Agent_82,Agent_88,Agent_89,Agent_198,Agent_297,Agent_298,Agent_311,Agent_312,Agent_317,Agent_318,Agent_319,Agent_329,Agent_355,Agent_404,Agent_416,Agent_434,Agent_435,Agent_447,Agent_448,Agent_485,Agent_486,Agent_487
22,23,0,28,25,4,7,12,44,43,16,10,4,5,0,7,7,17,56,37,18,9,19,41,56,30
49,72,0,21,67,4,13,1,36,11,18,32,15,0,1,2,12,12,18,15,22,8,18,51,42,43
122,84,0,15,35,6,14,4,16,27,34,26,5,11,3,6,7,17,10,40,31,8,15,19,47,43
42,65,0,7,105,5,4,7,5,7,49,29,9,2,1,5,17,24,12,52,38,5,25,49,30,18
55,18,0,15,30,24,14,7,10,12,13,18,2,1,7,8,11,18,27,9,54,5,23,17,18,60
99,44,0,44,47,17,0,9,28,35,11,36,7,3,1,6,6,25,10,23,14,7,19,31,62,40
58,32,0,86,62,1,2,12,6,15,23,31,4,4,0,4,4,20,17,58,27,7,25,39,49,31
51,44,0,15,51,7,8,5,11,13,44,7,6,3,1,6,4,26,37,26,36,10,13,54,38,110
79,44,0,50,98,12,6,3,21,33,41,12,1,0,0,4,6,24,37,52,29,15,40,58,30,31
109,36,0,19,9,8,8,18,7,42,42,7,10,3,0,6,2,18,14,27,15,5,12,35,30,45
43,49,0,28,16,20,13,7,10,6,42,21,8,30,1,5,7,11,21,80,30,20,18,25,39,54
59,20,0,19,31,21,7,12,15,52,7,47,11,5,0,5,5,26,26,44,23,11,15,29,26,43
77,105,0,19,10,6,14,1,5,36,33,10,3,0,0,5,10,17,4,20,35,8,13,49,66,60
32,54,0,22,54,24,8,8,5,0,10,9,3,4,0,7,10,15,20,16,31,17,19,31,29,69
18,77,0,10,24,32,13,3,31,11,18,19,9,8,1,8,9,33,23,46,26,17,14,34,48,25
57,65,0,24,48,18,14,4,6,10,15,9,6,3,0,6,9,22,16,46,18,14,17,33,79,37
93,78,0,3,16,14,13,7,9,5,39,15,11,3,0,5,4,14,24,49,19,14,24,33,26,37
27,66,0,4,18,10,7,5,23,12,27,10,3,7,4,8,6,10,17,32,20,9,12,41,32,29
63,58,1,28,23,28,5,1,58,8,14,13,9,2,0,6,8,20,33,38,60,14,14,48,39,54
59,35,0,14,12,18,1,10,21,24,16,10,5,2,1,3,9,21,14,37,34,12,28,22,28,63
24,40,0,36,33,2,10,4,11,21,13,12,6,5,1,2,9,30,16,56,34,7,13,74,29,39
79,62,0,38,38,4,7,5,3,31,22,26,8,1,2,3,6,13,15,87,36,14,32,38,43,80
51,43,0,64,48,8,5,35,7,27,24,11,4,5,0,7,8,23,18,134,20,12,20,47,30,44
49,52,0,11,42,5,35,0,8,39,58,8,2,2,0,0,9,31,37,33,21,15,14,56,49,52
79,167,0,16,4,4,3,7,43,15,39,19,10,4,0,7,16,20,27,12,41,5,7,26,36,47
42,40,0,13,73,9,5,13,24,4,28,22,9,3,0,6,8,16,14,36,47,20,12,13,49,32
81,70,1,15,28,10,7,11,17,30,62,9,10,6,5,5,10,17,16,28,46,7,36,38,48,48
76,32,2,25,21,30,1,9,26,1,17,17,8,9,0,8,1,15,35,21,17,10,27,26,32,43
47,49,0,53,20,8,16,4,70,14,35,14,17,0,1,5,8,15,11,29,9,13,10,20,51,40
30,65,0,3,75,8,11,7,15,13,18,9,9,3,0,5,6,16,13,41,33,13,26,25,75,26
50,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,
