Expert,DDQN_1Mio,DDQN,Agent_78,Agent_82,Agent_88,Agent_89,Agent_198,Agent_297,Agent_298,Agent_311,Agent_312,Agent_317,Agent_318,Agent_319,Agent_329,Agent_355,Agent_404,Agent_416,Agent_434,Agent_435,Agent_447,Agent_448,Agent_485,Agent_486,Agent_487
25,25,0,12,8,1,7,8,33,23,14,22,6,9,1,4,8,16,39,21,8,5,17,36,64,36
63,66,0,10,13,6,3,7,32,16,11,48,13,6,3,5,8,11,14,11,9,10,28,26,38,53
17,66,0,5,5,2,3,8,23,27,19,18,10,4,3,8,4,12,9,14,34,14,13,17,26,35
42,44,0,6,25,8,6,7,9,14,38,42,5,5,4,7,15,17,10,9,18,7,27,30,21,24
50,26,0,7,5,25,8,7,10,13,10,30,8,6,2,8,7,19,13,8,18,8,25,21,18,53
158,56,0,22,9,13,3,9,30,24,11,51,7,5,3,7,7,22,13,16,11,27,19,24,57,37
52,37,0,22,9,6,3,8,11,15,8,59,5,7,2,8,7,19,12,23,13,11,32,21,39,27
29,58,0,5,3,1,6,5,14,18,25,13,6,8,0,9,8,21,35,17,19,10,9,47,27,63
117,43,0,25,1,32,3,9,16,30,37,23,7,1,3,4,7,15,42,16,18,15,29,28,20,29
116,30,0,3,5,5,3,9,19,33,50,12,15,5,2,7,7,16,16,13,11,11,11,25,29,46
40,74,0,12,5,7,3,4,8,29,32,26,13,21,2,6,8,10,15,17,17,21,18,17,35,44
40,24,0,20,5,13,6,9,14,35,7,55,14,9,1,8,11,27,22,16,19,14,16,20,30,33
81,118,0,8,4,8,6,4,7,29,22,23,6,3,3,6,9,13,10,6,17,11,11,40,53,82
25,55,0,21,16,10,4,8,11,21,17,15,7,5,1,4,9,11,20,10,13,17,20,39,21,59
17,81,0,12,5,31,2,7,15,21,15,18,9,13,0,9,8,26,18,16,13,14,15,28,39,22
60,54,0,4,8,14,7,6,8,12,25,22,8,8,2,5,8,23,14,42,11,15,14,28,53,25
100,50,0,1,2,4,4,5,7,18,33,18,17,10,2,6,7,17,20,9,14,26,22,42,17,35
26,61,0,1,4,7,3,6,32,24,25,24,5,8,4,6,5,10,19,11,15,17,15,33,25,30
58,58,0,7,2,11,2,6,29,15,14,20,10,3,3,8,6,23,24,9,27,12,11,31,24,35
58,30,0,4,4,8,4,10,11,22,15,20,7,6,0,7,7,26,14,24,18,19,22,21,28,74
24,29,0,28,4,2,12,7,12,9,21,43,5,4,2,10,7,24,12,16,19,16,10,54,16,42
75,84,0,12,6,5,3,8,14,25,14,43,7,5,0,7,8,15,15,24,22,18,28,27,29,62
50,59,0,33,12,1,3,8,9,48,12,15,5,6,3,7,7,18,14,30,11,21,26,39,20,51
44,62,0,3,10,3,26,7,13,16,28,14,5,6,1,3,10,12,21,15,18,12,16,42,25,41
78,165,0,7,2,3,3,6,34,25,27,25,9,4,1,4,14,16,24,7,17,8,13,22,31,44
39,40,0,5,15,5,3,11,22,8,17,53,12,10,3,6,9,11,9,11,42,23,13,14,34,29
78,61,0,9,7,2,4,25,14,25,53,16,8,10,2,5,6,12,16,8,20,8,31,33,42,46
77,34,0,4,4,37,4,5,29,18,13,47,10,7,1,11,6,13,27,10,16,12,20,20,16,38
44,27,0,10,7,2,5,8,35,30,23,22,10,3,0,6,7,14,16,9,9,20,15,16,39,35
24,67,0,8,12,14,5,8,12,32,14,8,8,9,1,9,5,15,10,14,18,13,19,15,48,26
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
