Expert,DDQN_1Mio,DDQN,Agent_78,Agent_82,Agent_88,Agent_89,Agent_198,Agent_297,Agent_298,Agent_311,Agent_312,Agent_317,Agent_318,Agent_319,Agent_329,Agent_355,Agent_404,Agent_416,Agent_434,Agent_435,Agent_447,Agent_448,Agent_485,Agent_486,Agent_487
62,55,275,200,428,198,203,201,344,333,168,334,213,370,238,227,103,272,469,219,220,206,332,191,387,111
116,97,277,225,423,250,213,69,419,129,193,427,235,208,202,162,238,147,156,110,139,151,368,246,162,251
133,101,275,148,269,251,162,209,236,299,365,163,264,167,217,254,129,307,18,183,282,209,182,153,230,198
112,83,277,250,243,336,247,198,203,206,266,392,315,176,199,350,266,136,163,158,237,215,403,287,114,119
125,42,276,199,298,559,391,193,150,138,96,273,78,131,243,261,460,288,313,109,212,191,391,186,102,318
198,64,279,375,152,412,103,174,239,280,122,325,350,246,278,190,135,183,101,331,182,386,304,239,277,229
132,38,274,363,336,266,170,172,115,131,199,298,154,287,176,313,142,181,225,407,184,152,285,177,410,133
83,115,279,221,263,208,238,199,140,295,301,202,316,368,262,223,402,236,228,157,182,235,166,400,202,274
186,102,274,323,196,257,258,132,165,243,311,196,294,213,161,184,204,363,573,575,176,235,393,232,80,105
154,115,278,295,159,275,138,257,173,240,368,165,226,173,211,213,115,250,152,259,208,105,188,180,190,231
109,53,274,196,254,251,244,221,135,385,193,220,211,572,243,282,357,144,196,311,203,335,162,69,214,246
123,41,275,229,220,386,449,169,277,388,114,378,367,273,206,168,165,433,401,236,383,388,159,215,205,130
0,127,275,209,158,239,182,135,71,236,292,171,67,264,183,98,206,170,241,67,137,253,267,257,338,276
29,99,278,351,321,279,153,255,190,193,98,163,146,134,232,200,108,79,280,24,206,307,164,322,133,377
46,117,278,208,170,336,215,84,219,122,110,306,158,300,150,166,215,334,363,213,146,340,196,300,225,87
178,77,279,171,384,432,249,179,123,231,191,195,124,145,140,179,220,319,121,396,153,350,201,198,392,152
372,77,279,344,168,227,286,201,150,451,410,161,358,279,180,167,249,265,216,137,108,545,233,351,113,173
97,83,277,157,283,208,313,159,308,193,102,400,272,375,213,134,175,278,207,65,228,194,171,254,134,125
245,78,396,262,175,215,153,133,204,265,319,207,173,237,289,288,204,196,253,237,198,211,235,266,238,228
237,190,279,207,137,300,171,165,190,251,143,95,364,220,190,277,223,322,125,325,219,242,274,101,228,323
99,66,277,305,357,374,260,160,207,215,271,300,316,222,268,122,218,377,228,265,141,358,164,346,114,255
313,96,275,210,228,177,183,326,153,302,204,261,201,195,259,114,105,167,207,349,188,264,347,156,232,376
0,126,276,158,215,204,206,241,165,428,98,143,251,308,170,307,284,131,214,387,154,271,402,414,118,265
169,52,279,235,246,174,383,181,162,217,330,165,275,120,332,146,216,239,396,149,86,127,175,341,383,254
271,188,274,279,213,200,147,328,456,190,293,345,389,249,197,166,310,258,278,154,295,146,262,161,174,217
206,57,277,134,299,174,176,262,300,84,197,364,204,290,347,129,320,270,147,197,346,394,97,176,262,132
306,77,247,226,176,229,231,320,348,193,353,204,161,314,227,163,235,184,320,103,314,64,243,297,247,138
282,85,348,212,156,416,172,413,212,229,96,316,327,212,212,235,116,132,450,136,246,152,344,216,46,281
185,47,279,174,250,139,134,216,255,427,335,508,284,253,220,75,202,283,211,137,60,349,193,123,229,141
159,72,278,305,430,411,254,130,342,268,62,161,265,291,134,178,140,301,178,148,255,237,224,145,275,123
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
