Expert,DDQN_1Mio,DDQN,Agent_78,Agent_82,Agent_88,Agent_89,Agent_198,Agent_297,Agent_298,Agent_311,Agent_312,Agent_317,Agent_318,Agent_319,Agent_329,Agent_355,Agent_404,Agent_416,Agent_434,Agent_435,Agent_447,Agent_448,Agent_485,Agent_486,Agent_487
4,0,0,4,1,0,3,10,4,1,7,11,6,5,6,3,6,6,4,8,4,6,9,10,13,6
24,0,0,4,6,1,3,10,4,2,5,5,5,4,4,6,12,4,3,3,3,6,9,12,4,4
21,0,0,2,4,0,4,13,2,2,9,7,7,5,10,17,13,2,3,4,4,7,12,5,6,9
9,13,0,2,1,0,5,12,4,8,6,2,7,4,6,8,7,3,5,3,6,6,9,3,6,4
18,0,0,2,1,1,4,6,2,3,4,7,3,5,7,10,16,7,2,3,4,4,8,3,3,11
33,0,0,3,2,1,4,16,8,11,4,7,4,6,6,29,10,2,3,3,3,5,8,4,6,8
22,0,0,4,1,2,4,11,3,1,5,3,4,5,5,14,5,3,2,3,4,5,6,6,7,5
12,0,0,1,1,0,4,9,3,9,5,4,14,3,7,7,7,4,4,3,3,5,6,8,4,10
23,0,0,4,3,1,3,11,4,3,6,4,4,11,6,4,8,3,4,3,3,5,7,5,3,4
57,2,0,3,3,1,4,8,2,4,10,4,8,4,7,5,4,5,3,3,5,7,7,4,8,3
16,0,0,1,2,1,5,12,3,3,9,2,5,2,5,11,9,3,3,4,5,8,9,3,6,5
7,4,0,7,2,1,4,9,2,2,5,6,2,6,7,3,8,8,2,3,5,4,7,6,10,8
14,0,0,2,2,1,4,13,3,2,8,3,3,5,7,8,6,5,3,3,3,7,10,8,12,6
125,0,0,4,4,2,4,15,4,2,5,4,7,4,8,10,5,3,4,3,3,5,8,4,3,10
6,1,0,0,1,2,3,8,2,3,5,7,6,3,6,5,8,5,3,5,3,7,9,12,7,9
18,0,0,0,9,1,3,10,3,5,4,6,5,7,9,3,4,5,3,3,3,9,7,4,7,6
29,5,0,1,1,2,3,17,1,8,6,4,4,6,8,5,9,4,3,3,3,8,8,5,5,6
5,0,0,0,4,1,3,8,6,5,4,4,8,7,7,3,4,3,3,4,5,6,6,7,5,5
13,0,0,3,1,2,5,14,7,8,10,2,5,8,11,4,10,5,3,6,3,4,8,6,9,7
15,0,0,3,2,0,4,5,2,3,4,3,4,3,12,4,7,4,3,4,3,6,9,5,9,11
11,2,0,3,3,0,9,9,5,2,3,7,6,7,10,9,8,6,2,3,5,6,8,9,3,5
19,0,0,16,1,2,2,11,2,4,10,3,4,6,10,3,4,4,3,3,4,6,7,5,5,13
147,0,0,3,3,0,2,10,2,6,6,4,7,4,3,5,10,4,2,7,3,6,10,12,5,5
14,0,0,1,3,2,5,9,4,4,6,4,7,5,6,19,11,3,1,4,3,5,6,12,5,6
35,0,0,2,2,1,4,10,4,9,6,4,2,7,7,7,7,3,4,3,9,8,7,7,9,5
25,3,0,1,8,2,2,15,2,1,7,4,4,6,5,3,18,3,3,8,3,8,7,5,7,6
23,0,0,0,2,1,4,13,1,9,5,3,3,6,4,11,7,3,3,3,3,4,10,9,10,6
21,0,0,5,2,4,10,9,3,6,5,9,5,3,7,4,10,4,2,3,3,6,7,4,6,3
9,1,0,2,1,1,4,17,3,5,11,8,3,4,9,7,8,2,2,3,3,6,7,4,7,8
15,0,0,2,2,1,4,8,8,7,3,6,3,3,6,4,12,3,4,4,4,7,8,4,9,4
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
