Expert,DDQN_1Mio,DDQN,Agent_16,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
43,54,0,20,21,0,7,1,3,13,4
35,88,1,13,8,2,0,2,9,13,3
51,91,0,25,3,12,11,14,0,15,7
54,293,0,3,44,1,0,2,1,2,3
64,85,1,6,26,1,0,8,16,17,20
38,81,0,23,4,1,0,1,0,7,4
66,55,0,10,12,0,0,5,5,39,12
41,98,0,45,17,1,3,5,23,23,9
71,85,0,3,15,13,0,1,2,9,8
62,71,0,28,7,2,14,20,0,20,4
83,80,0,4,6,1,0,1,16,2,5
58,50,0,18,1,1,1,1,0,2,6
66,230,0,26,15,11,0,25,2,21,7
59,75,0,18,25,0,0,1,6,13,4
46,122,0,11,5,0,0,13,0,6,14
39,76,0,20,14,17,4,2,0,2,11
95,103,0,22,1,24,15,1,1,7,5
63,110,0,16,2,10,0,1,11,9,19
42,64,0,25,22,1,0,2,4,2,9
27,95,0,10,15,1,0,1,1,13,3
97,136,0,3,11,11,9,15,12,33,6
22,72,0,26,1,3,7,5,5,23,7
69,67,1,3,14,0,1,13,0,8,3
17,136,0,15,23,3,23,6,1,34,10
17,103,3,30,6,1,8,6,0,13,8
58,114,0,3,6,0,0,9,12,25,14
14,107,0,9,9,3,0,15,2,7,23
42,119,0,22,14,0,0,2,7,23,7
25,127,0,4,37,0,0,7,0,31,3
73,68,0,12,2,4,14,16,9,11,3
58,,,,,,,,,,
60,,,,,,,,,,
58,,,,,,,,,,
78,,,,,,,,,,
60,,,,,,,,,,
64,,,,,,,,,,
53,,,,,,,,,,
85,,,,,,,,,,
89,,,,,,,,,,
67,,,,,,,,,,
61,,,,,,,,,,
82,,,,,,,,,,
15,,,,,,,,,,
35,,,,,,,,,,
46,,,,,,,,,,
40,,,,,,,,,,
30,,,,,,,,,,
62,,,,,,,,,,
86,,,,,,,,,,
46,,,,,,,,,,
33,,,,,,,,,,
51,,,,,,,,,,
35,,,,,,,,,,
47,,,,,,,,,,
50,,,,,,,,,,
31,,,,,,,,,,
42,,,,,,,,,,
56,,,,,,,,,,
44,,,,,,,,,,
29,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
